,Country,Longitude,Latitude
158,Puerto Rico,-66.26152219418967,18.19897685
159,Qatar,51.2295295,25.3336984
160,Reunion,55.536480112992315,-21.130737949999997
161,Romania,24.6859225,45.9852129
162,Russia,97.7453061,64.6863136
163,Rwanda,30.0644358,-1.9646631
164,Saint Barthelemy,-62.811568843006896,17.9036287
165,"Saint Helena, Ascension and Tristan da Cunha",-5.702575637953244,-15.96545515
166,Saint Kitts and Nevis,-62.6725973,17.250512
167,Saint Lucia,-60.975036,13.8250489
168,Saint Martin (French Part),-63.05129209796061,18.085493
169,Saint Vincent and the Grenadines,-61.2765569,12.90447
170,Samoa,-172.12005,-13.7693895
171,Sao Tome and Principe,6.9648718,0.8875498
172,Saudi Arabia,42.3528328,25.6242618
173,Senegal,-14.4529612,14.4750607
174,Serbia,20.55144,44.1534121
175,Serbia-Montenegro,18.5377805,42.4516555
176,Seychelles,55.4540146,-4.6574977
177,Sierra Leone,-11.8400269,8.6400349
178,Sint Maarten (Dutch part),-63.044359755331854,18.02222735
179,Slovakia,19.4528646,48.7411522
180,Slovenia,14.4808369,45.8133113
181,Solomon Islands,159.1070693851845,-8.7053941
182,Somalia,49.083416,8.3676771
183,South Africa,24.991639,-28.8166236
184,South America,-61.0006565,-21.0002179
185,South Korea,127.6961188,36.638392
186,South Sudan,29.6667897,7.8699431
187,Soviet Union,27.359792969682104,44.566633350000004
188,Spain,-4.8379791,39.3260685
189,Sri Lanka,80.7137847,7.5554942
190,Sudan,29.4917691,14.5844444
191,Suriname,-56.0771187,4.1413025
192,Sweden,14.5208584,59.6749712
193,Switzerland,8.2319736,46.7985624
194,Syria,39.0494106,34.6401861
195,Taiwan,120.9820179,23.9739374
196,Tajikistan,70.8156541,38.6281733
197,Tanzania,35.7878438,-6.5247123
198,Thailand,100.83273,14.8971921
199,Timor,124.63707741045215,-9.346017100000001
200,Togo,1.0199765,8.7800265
201,Tonga,-175.202642,-19.9160819
202,Trinidad and Tobago,-60.9821067,10.8677845
203,Tunisia,9.400138,33.8439408
204,Turkey,34.9249653,38.9597594
205,Turkmenistan,59.3924609,39.3763807
206,Turks and Caicos Islands,-71.6201783,21.7214683
207,Tuvalu,179.1582918181797,-8.6405212
208,Uganda,32.2166578,1.5333554
209,Ukraine,31.2718321,49.4871968
210,United Arab Emirates,53.9994829,24.0002488
211,United Kingdom,-3.2765753,54.7023545
212,United States,-100.445882,39.7837304
213,United States Virgin Islands,-64.7080574,17.789187
214,Upper middle income,,
215,Uruguay,-56.0201525,-32.8755548
216,Uzbekistan,63.9528098,41.32373
217,Vanuatu,168.1069154,-16.5255069
218,Venezuela,-66.1109318,8.0018709
219,Vietnam,108.4265113,13.2904027
220,Wallis and Futuna,-176.204224,-13.289402
221,World,135.7702796,35.0042743
222,Yemen,47.8915271,16.3471243
223,Yugoslavia,-81.52614194734898,23.04123655
224,Zambia,27.5589884,-14.5189121
225,Zimbabwe,29.7468414,-18.4554963
